Region,Region_eng,Population,Rus_perc,Urban_pop,Urban_pop_perc,Rural_pop,Rural_pop_perc,Area,Density_pop_sqkm,Federal_district,Latitude,Longitude
Кировская область,Kirov region,1262549,"0,86",985180,"78,03",298058,"23,61",120374,"10,49",ПФО,57.9665589,49.4074599
Тверская область,Tver region,1260345,"0,86",972859,"77,19",311014,"24,68",84201,"14,97",ЦФО,57.1134475,35.1744428
Ярославская область,Yaroslavskaya oblast,1253189,"0,85",1035103,"82,6",230581,"18,4",36177,"34,64",ЦФО,57.7781976,39.0021095
Ульяновская область,Ulyanovsk region,1229687,"0,84",938767,"76,34",307851,"25,03",37181,"33,07",ПФО,54.1463177,47.2324921
Республика Чувашия,Chuvash Republic,1217820,"0,83",768968,"63,14",462149,"37,95",18343,"66,39",ПФО,56.1424308,47.2544543
Брянская область,Bryansk region,1192570,"0,81",850937,"71,35",360045,"30,19",34857,"34,21",ЦФО,52.8873315,33.415853
Вологодская область,Vologda Region,1160721,"0,79",851560,"73,36",325129,"28,01",144527,"8,02",СЗФО,60.0391461,43.1215213
Липецкая область,Lipetsk region,1139492,"0,78",740253,"64,96",409948,"35,98",24047,"47,39",ЦФО,52.6935178,39.1122664
Рязанская область,Ryazan Oblast,1108924,"0,76",805902,"72,67",315572,"28,46",39605,28,ЦФО,54.4226732,40.5705246
Курская область,Kursk region,1103059,"0,75",756880,"68,62",358357,"32,49",29997,"36,77",ЦФО,51.6568453,36.4852695
Архангельская область,Arhangelsk region,1092277,"0,74",868913,"79,55",242118,"20,45",413103,"2,64",СЗФО,63.5589686,43.1221646
Томская область,Tomsk region,1079051,"0,74",780804,"72,36",297476,"27,57",314391,"3,43",СФО,58.6124279,82.0475315
Забайкальский край,Transbaikal region,1059657,"0,72",731915,"69,07",340891,"32,17",431892,"2,45",ДВФО,52.248521,115.956325
Калининградская область,Kaliningrad region,1012253,"0,69",775122,"76,57",219477,"21,68",15125,"66,93",СЗФО,54.7293041,21.1489473
Тамбовская область,Tambov Region,1006962,"0,69",629296,"62,49",404256,"40,15",34462,"29,22",ЦФО,52.9019574,41.3578918
Астраханская область,Astrakhan region,1005967,"0,69",678071,"67,4",339443,"33,74",49024,"20,52",ЮФО,47.1878186,47.608851
Калужская область,Kaluga region,1000070,"0,68",769262,"76,92",242894,"24,29",29777,"33,59",ЦФО,54.4382773,35.5272854
Ивановская область,Ivanovo region,997196,"0,68",826727,"82,91",187919,"18,84",21437,"46,52",ЦФО,56.9167446,41.4352137
Республика Бурятия,The Republic of Buryatia,986109,"0,67",581005,"58,92",403506,"40,92",351334,"2,81",ДВФО,53.60950465,111.02710087838607
Якутия,Yakutia,970105,"0,66",632857,"65,24",331473,"34,17",3083523,"0,31",ДВФО,66.941626,129.642371
Смоленская область,Smolensk region,934747,"0,64",682708,"73,04",266640,"28,53",49779,"18,78",ЦФО,55.0343496,33.0192065
Кабардино-Балкарская Республика,Kabardino-Balkar Republic,868174,"0,59",451338,"51,99",414490,"47,74",12470,"69,62",СКФО,43.4428286,43.4204809
Курганская область,Kurgan region,826941,"0,56",522828,"63,22",322709,"39,02",71488,"11,57",УФО,55.7655302,64.5632681
Республика Коми,Komi Republic,820171,"0,56",656821,"80,08",184052,"22,44",416774,"1,97",СЗФО,63.9881421,54.3326073
Республика Мордовия,The Republic of Mordovia,790829,"0,54",507034,"64,11",298022,"37,68",26128,"30,27",ПФО,54.3376037,44.7729228
Амурская область,Amur region,790676,"0,54",537884,"68,03",260540,"32,95",361908,"2,18",ДВФО,52.8032368,128.437295
